0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
6.1626,3.7034,3.9702,2.9755,3.7868,2.4766,2.9633,3.1812,2.5989,2.6404,2.9063,2.4361,2.6271,2.3282,2.2467,2.4665,1.6792,2.6648
4.806,5.6051,5.7429,7.352,5.3636,3.8976,6.0598,5.6457,6.8332,4.4,6.4812,11.241,5.4588,8.7157,8.4009,7.1711,11.72,10.395
10.356,8.4488,9.9048,9.4395,9.0228,7.7379,8.9833,6.43,7.5652,9.1825,8.887,11.56,7.3169,9.9778,9.1321,8.2621,14.024,10.203
3.8523,2.187,3.5944,4.1285,3.8594,5.6391,3.2113,5.4189,4.2081,5.6577,4.9814,3.1842,5.7088,2.5697,3.3171,3.5583,2.7096,3.9273
14.84,15.209,18.151,13.121,8.7701,13.431,20.761,12.511,15.722,14.876,13.991,19.04,16.658,19.14,18.646,17.61,14.772,17.296
40.332,40.959,34.909,36.709,38.964,36.577,40.289,32.849,34.431,34.269,35.923,42.2,37.18,41.523,43.609,35.607,50.839,43.501
0.047032,0.028613,0.032412,0.1263,0.097282,0.17774,0.26768,0.15776,0.097031,0.1445,0.43751,0.63076,0.32899,0.082666,0.33535,0.098669,0.12905,0.45687
15.014,13.728,13.36,14.055,10.737,9.9769,11.135,7.7122,10.278,9.6025,9.4265,10.575,10.004,10.62,11.02,8.2932,11.465,10.427
1.9807,1.1132,1.352,0.64933,1.3378,0.84357,0.5368,0.24677,0.36694,0.69549,0.13161,0.14456,0.51131,0.39787,0.67789,0.15264,0.23889,0.066633
53.649,47.9,57.837,35.617,59.33,58.552,63.885,51.958,59.845,74.537,79.631,66.433,56.106,59.749,67.524,61.362,72.228,84.282
5.6749,6.112,4.6417,3.4468,6.7388,5.751,4.5482,4.7216,4.7156,5.0884,4.1343,5.2328,4.7433,3.4326,4.6296,4.8522,4.7734,4.9897
1.093,1.1721,0.59577,1.0311,1.3356,0.71563,1.4058,0.82021,0.41494,0.92693,0.61271,0.50478,0.36715,0.67726,0.88762,0.44416,0.73508,0.5453
3.9202,3.9303,4.8505,3.5376,4.6335,5.0307,3.6537,5.0167,5.5444,4.6339,6.3988,6.0869,5.7694,5.2076,4.9963,4.6841,4.8007,4.4026
50.65,30.984,37.566,28.271,28.77,28.429,28.56,16.921,18.617,34.462,20.822,24.87,21.427,24.378,25.33,17.438,26.679,19.321
6.8818,8.7521,10.705,12.281,9.5686,11.797,12.943,11.838,13.354,12.528,12.531,7.6924,13.266,10.718,9.8544,9.2355,8.2192,12.78
5.954,7.0458,8.052,6.4712,6.1238,9.386,7.6956,5.7638,6.8732,6.5995,7.2153,8.2909,6.4048,7.169,7.3581,8.3617,10.607,9.0117
18.189,30.392,24.249,27.995,53.266,64.623,61.348,50.6,50.354,51.777,44.059,43.193,49.35,41.485,43.089,32.92,16.328,31.295
0.064091,0.090978,0.073615,0.078232,0.26514,0.24221,0.086849,0.12899,0.13223,0.028131,0.11593,0.095506,0.31756,0.078855,0.036559,0.11525,0.027055,0.20753
66.642,61.983,53.566,46.857,55.763,82.204,60.239,47.057,54.7,60.967,53.193,27.006,85.443,63.109,61.999,44.457,26.071,37.292
10.084,10.041,11.16,18.282,11.333,9.2987,7.1623,12.157,11.414,12.772,21.546,16.351,21.871,6.247,11.954,19.596,30.218,16.799
0.59867,0.50828,0.48409,1.1692,0.79724,1.9005,0.82639,0.78717,1.9385,1.3384,1.1344,0.94819,1.1493,0.67064,0.9744,1.1053,0.6874,0.82239
5.2936,4.6508,4.9867,3.4245,5.3585,4.6247,3.9606,3.0592,3.6784,4.2958,2.4807,3.1564,3.8086,3.4967,3.8486,3.2769,2.9607,3.2342
0.04854,0.052498,0.034691,0.0632,0.044623,0.083793,0.070161,0.083217,0.092195,0.07812,0.12821,0.039037,0.16034,0.06067,0.17536,0.077588,0.050088,0.092081
0.044113,0.11331,0.1135,0.11487,0.18249,0.36182,0.090861,0.30974,0.3519,0.21169,0.12463,0.22538,0.144,0.11889,0.15266,0.086376,0.13656,0.16448
0.28357,0.25449,0.088703,0.17675,0.30664,0.29388,0.31395,0.31571,0.22761,0.090038,0.45523,0.48293,0.29542,0.25875,0.38546,0.38335,0.37694,0.79565
21.082,28.78,34.566,34.249,63.107,84.982,133.37,92.715,86.8,90.091,151.75,113.28,101.04,100.46,79.225,79.175,59.714,107.9
44.832,28.087,30.713,26.027,32.441,34.699,29.894,28.389,32.074,35.166,33.7,20.298,29.756,25.761,28.104,28.384,20.338,27.42
0.35185,0.39453,1.3503,0.128,0.29764,0.22886,0.20567,0.20364,0.2318,0.20591,0.1034,0.09987,0.2051,0.18674,0.28728,0.17782,0.069896,0.07311
4.5148,2.3337,2.2698,3.225,2.8497,4.2712,3.8927,3.4336,1.8515,4.7815,3.3801,2.9911,3.4546,2.4829,2.898,2.0345,2.6769,2.9466
0.51528,0.94431,0.53486,2.9352,0.68799,1.6909,6.248,1.1715,0.89996,1.5162,11.658,14.219,5.8182,3.2638,3.059,1.5615,7.5205,12.516
1.4491,1.2055,1.3145,1.187,2.5494,2.0448,1.8039,1.81,1.2889,1.4152,1.1607,2.228,1.5511,1.1829,0.93862,1.2173,1.0826,1.4226
7.3144,10.03,7.2315,13.973,4.6112,16.686,9.996,8.7522,12.18,8.5599,14.285,27.655,6.6236,11.782,10.399,19.47,14.426,36.07
4.1344,4.0595,3.7622,3.9473,2.934,5.2941,3.4908,4.0622,3.645,3.3513,4.1241,4.1216,2.9827,3.341,3.4403,3.8988,2.0957,2.4553
0.096626,0.03919,0.13318,0.18872,0.11421,0.081147,0.31425,0.064822,0,0,0.19974,0.12342,0.11265,0.13587,0.055118,0.17376,0,0
4.6935,7.145,8.2858,7.0633,6.2885,9.0622,10.043,10.999,14.774,5.2584,11.707,12.259,16.291,8.0801,7.28,9.609,12.019,6.1762
4.5399,6.1642,5.3756,6.231,7.4645,5.5512,4.1262,4.2806,3.962,3.4908,3.6429,3.4865,4.4832,3.8597,3.2885,4.0525,4.3142,3.5097
0.037077,0.015038,0.020441,0.028965,0.021912,0.046706,0.024116,0.019898,0,0.022783,0,0,0.01729,0.0052135,0.0084598,0.017779,0.015651,0.017462
0.37382,0.52422,0.61131,0.47023,0.46431,0.35651,0.52888,0.31454,0.30625,0.36153,0.43222,0.43701,0.63525,0.28955,0.3831,0.36459,0.78635,0.29095
0.0098089,0.013261,0.021031,0.019157,0.023188,0.013729,0,0.10967,0.14648,0.037313,0.020277,0.061252,0.19059,0.082756,0.22381,0.10583,0.038647,0.1155
12.073,11.98,8.7318,9.7374,12.469,9.8155,11.345,9.4359,8.7254,8.2683,10.073,10.173,9.5265,9.4122,9.0453,8.6719,9.4578,8.6357
