0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22.275,25.228,25.233,14.1,30.216,89.599,63.185,38.107,24.303,35.443,32.391,24.333,51.258,73.44,42.223,44.857,32.763,2.4296,22.481,28.358
40.949,47.392,55.27,21.424,51.51,82.79,79.966,117.61,64.057,35.242,86.243,68.536,49.378,61.276,55.335,105.57,56.95,6.8511,56.448,35.665
37.689,51.26,54.925,120.02,54.498,111.48,51.835,41.919,47.276,42.024,128.86,25.423,73.163,70.966,21.699,129.77,240.75,12.117,132.96,30.128
52.186,60.484,67.718,27.374,87.043,110.19,88.293,64.75,48.041,79.053,119.04,53.343,115.33,125.39,68.608,57.632,95.456,14.222,63.98,101.79
848.76,1081.5,1611.7,1473.2,1022.7,1173.2,954.36,1071.3,1838.3,759.9,918.59,704.61,1458.9,1240.9,843.89,1108.8,995.74,294.89,1141.4,1292.1
204.41,250.84,199.7,102.94,243.6,586.85,177.41,251.21,180.07,245.14,232.09,219.75,396.07,398.06,369.4,348.37,256.53,31.183,199.59,277.09
239.33,152.04,392.15,67.493,446.42,291.42,508.9,261.35,375.39,279.83,46.011,135.6,172.55,357.07,411.88,187.85,663.15,10.737,188.69,410.41
1373.8,3824.2,3076.1,2718.6,5173.9,2419.5,4053.1,4570.2,4634,2893.2,5162.7,4585.7,7680.9,3321,3700.9,3665.9,3465.1,1172,5310,4759.8
3525.1,2429.6,2150,3271,3136.6,1540,2521.3,1457.4,1963.7,2865.1,2017.5,2820.5,1595.4,1776.7,1906.4,3311.3,1524.5,387.44,2112.6,2009.5
668.37,973.71,981.96,797.5,893.96,1234.1,664.09,848.61,1006.9,727.56,714.55,858.7,580.74,1070.4,810.73,1029.9,930.2,169.31,677.6,734.87
1076.1,1413.3,1864.4,1533.4,1564.9,1520.3,1912.5,1535,1652.6,1524.1,1568.6,1999.1,1579.6,1946,1777.8,1756.9,2255.3,292.72,1873.8,2084.3
