42.028,21.849,10.498,28.076,16.384
0.25248,0.78133,0.47592,0.18171,0.72923
0.29811,0,0,0.11962,0.066065
0.10534,0.31548,0.40538,0.13803,0.329
0.77393,0.53749,0.31009,0.47034,0.97066
9.4776,13.817,8.7681,7.0619,9.8298
0.23216,0.65441,0.68955,0.13974,0.79746
0.14029,0.44488,0.35258,0.038702,0.25649
11.473,9.4924,9.27,4.5593,4.5392
2.5642,2.6952,2.6214,1.3908,1.3243
0.19175,0.90535,1.0723,0.24334,0.18697
1.0599,0.64024,1.0465,0.58483,0.092281
2.3833,2.9936,2.4363,1.8397,1.46
0.61545,0.72286,0.1289,0.33958,0.12503
5.3389,5.6869,4.9477,5.2143,7.7318
8.3106,6.7054,6.529,6.9419,5.9027
2.5038,2.1173,0.81805,0.93942,4.5167
0.04906,0.015366,0.0274,0,0.14617
19.935,21.508,20.278,22.766,19.567
