0,1,2,3,4,5
0,0.075391,0,0,0.059468,0
0,0,0,0,0,0
145.16,213.38,102.33,355.85,215.02,128.73
0.16337,0.21462,0,0.033442,0.16929,0
0.38501,0.40854,0.30569,0.10913,0.96675,0
0,0,0,0,0,0
0,0,0,0.033487,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0.0093466,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.29958,1.7037,0.42691,2.967,0.81881,0.60889
0,0,0,0,0,0
1.8776,2.2291,2.1105,2.7881,1.9258,3.0339
0,0,0,0,0,0
0.73629,1.5655,0.94283,0.71394,0.48189,0.45639
0,0,0,0,0,0
25.125,24.56,33.758,34.688,24.555,36.156
0,0,0,0.34798,0.1468,0
27.49,13.639,11.598,30.13,11.431,18.148
0,0,0,0,0,0
0.03815,0,0,0,0,0
1.7381,2.1752,2.5835,3.144,3.0938,2.3229
0.1208,0.28565,0.78372,0.35607,0.30043,0.48776
2.5844,4.3723,3.2433,3.017,3.1677,4.0147
3.0515,2.5533,4.0328,4.9004,1.0603,2.8004
0.022225,0,0.16385,0.081889,0,0
0,0,0,0,0,0
0.44586,0.82192,1.3997,1.6163,0.38005,0.53235
35.411,25.44,26.613,24.181,26.707,29.727
0,0,0,0,0,0
8.4755,6.9817,8.4766,5.5596,8.898,7.0143
5.9881,4.7075,4.5088,3.2861,5.8422,4.2335
5.5871,6.6842,5.2559,6.2779,7.0678,5.0561
0.061387,0.060485,0.045258,0.28273,0.04771,0.10328
1.6933,2.8287,1.702,2.2614,1.6393,1.4441
0,0.25028,0,0,0.13161,0.071228
0,0,0,0,0,0
1.9824,5.0663,2.101,2.4538,1.3963,2.0324
4.3919,3.1219,9.4596,5.4327,5.6077,4.803
0,0,0,0,0,0
11.996,10.638,9.0827,7.1854,5.8347,11.058
0,0.078971,0.11818,0,0.12458,0
0.01986,0.078274,0.087855,0,0.030871,0.033414
0,0,0,0,0.19619,0
5.6672,4.5028,5.5705,4.2397,4.958,6.8721
0,0,0,0,0,0
0.12622,0.24872,0.18611,0,0.19619,0
5.7548,3.018,4.3112,3.3345,3.4626,8.2766
0,0,0.27002,0.33736,0,0.23107
13.548,26.263,20.247,48.909,14.787,12.8
0,0,0,0,0,0
0.1118,1.41,0.16485,0.41193,0.24329,0.41381
4.9558,6.9366,5.6385,6.0116,5.4494,5.0988
2.8051,4.502,3.2834,3.0368,2.9218,2.3841
8.9821,11.01,8.0409,6.8869,10.528,8.6661
0,0.28719,0,0,0,0.16347
2.5425,5.5147,2.2262,2.8619,4.2708,5.5991
1.483,3.1104,1.5181,1.7806,2.5992,3.0255
0,0,0,0,0,0
0.038697,0.095319,0,0.035646,0.067668,0.032553
0.054677,0.10775,0,0.10073,0,0
0,0,0,0,0,0
0,0,0,0,0,0
29.175,60.084,33.291,33.106,44.855,50.02
2.3278,3.259,2.2551,1.4327,3.7552,5.6434
22.897,24.625,19.685,9.1229,21.547,30.87
27.658,46.772,26.069,62.588,52.487,31.257
24.863,26.359,22.983,20.537,24.955,24.191
5.821,7.9681,5.3608,4.3509,5.9799,5.9981
2.8724,3.0784,2.6378,3.3886,3.4073,3.5185
6.3386,6.8163,4.9887,6.0359,7.7151,6.579
0.177,0.3488,0.052198,0.097827,0.11005,0.17868
0,0,0,0,0,0
0,0,0,0,0,0
