0,1,2,3,4,5,6,7,8,9,10
0.053752,0.68402,0.29557,0.68459,0.050462,0.70787,1.3699,0.076384,0.095658,0.84177,0.15502
0,0.27726,0.3756,0.67765,0.049431,0.31698,0.8683,0.10883,0,0.22235,0.15185
0,0.21921,0.12727,0.44393,0.040198,0.18259,0.49215,0.073755,0.0078155,0.33151,0.089189
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.031613,0.048553,0.032887,0.059334,0,0.083264,0.04147,0.085763,0.030293,0.038938,0
1.6848,0.81794,1.1886,1.2904,0.60451,1.7598,1.2702,0.70051,1.8186,1.4789,0.91226
0.70806,0.43425,0.59079,0.65994,0.34541,0.45509,0.3487,0.57692,0.86839,0.30063,0.55089
0,0,0.049786,0,0,0.2521,0.062779,0,0,0,0
0.019456,0,0,0,0.063927,0,0.017014,0,0,0,0
0.4081,9.3265,4.7238,10.152,0.38717,13.966,20.486,0.67571,0.51774,15.051,1.2764
0.23503,0.18048,0.061125,0.55141,0,0.46427,0.46246,0.053134,0,0.14474,0.098851
4.5392,19.233,10.131,19.742,2.0416,10.625,13.529,4.0448,2.7879,10.165,2.7854
0,0,0,0,0,0,0,0,0,0,0
1.1547,0.7482,0.78834,1.1514,0.38535,1.7583,0.99407,0.68528,0.069158,1.9112,1.366
34.756,31.488,35.615,30.575,36.654,32.84,28.614,31.791,31.576,30.166,39.138
10.319,9.1614,10.203,10.093,8.2978,10.823,10.124,7.7763,7.2702,12.616,10.246
0.21819,0.33511,0.23959,0.44365,0.2257,0.40973,0.89576,0.10231,0.20908,0.642,0.26851
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
10.34,8.9878,9.5459,9.5628,10.425,8.3878,7.6721,8.3903,9.8135,10.313,10.429
0.019366,0,0.020147,0.009087,0.071587,0.012752,0.012702,0.017513,0.037115,0.023853,0.057016
0.65877,1.2466,2.0315,0.94941,1.836,1.89,1.3271,1.7021,1.488,2.4053,1.5635
28.439,22.086,26.011,22.845,29.005,22.047,22.932,27.092,29.472,24.743,28.253
0.45651,0.64271,0.31661,0.42841,0.125,0.501,0,0.55043,0.14582,0.28115,0.38401
10.272,8.05,10.993,8.5286,9.6876,9.1293,9.3154,9.1357,9.7212,11.871,9.6358
7.0473,6.0542,6.461,4.0136,7.3626,5.1932,5.9006,7.9325,6.3348,5.7084,8.1386
3.1024,2.927,3.3526,3.2383,2.4653,3.1935,4.1196,2.5822,2.2085,3.8057,2.9559
0,0,0,0,0,0,0,0,0,0,0
7.5462,8.0008,6.6166,9.423,7.7503,8.8271,9.9335,7.2848,5.4549,6.687,6.7615
0.066275,0.080583,0.17811,0.14512,0.22684,0.48731,0.15939,0.094894,0.02117,0.39455,0.1115
0,0.02896,0,0.029493,0.010326,0.03311,0.032981,0,0,0.11613,0
0,0.091975,0,0.13488,0.35419,0.50474,0.094269,0.043324,0.045909,0.38356,0.0403
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.019545,0,0.026621,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.054281,0.84896,0.20705,0.39054,0.059452,0.20969,0.10443,0.065449,0.39705,0.59281,0.12785
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
2.6096,2.2704,2.8599,2.4808,1.4714,2.786,2.5723,2.5235,1.5936,2.7915,3.0548
0,0,0,0,0,0,0,0,0,0,0
2.9033,3.6564,4.6846,4.1295,2.8816,3.1739,3.5274,2.9227,2.9452,3.6555,3.6818
0.32,0.93414,0.17235,0.64107,0.57606,0.2391,0.059542,0.13545,0.2414,0.2404,0.60517
94.359,100.98,99.559,110.8,87.44,78.514,91.406,97.554,99.144,85.058,86.938
0.059379,0.82077,1.2972,1.5046,0.87798,1.2512,1.0126,0.053696,0.569,1.0239,0.59938
3.692,10.369,8.145,11.725,5.0258,13.244,16.006,3.7097,6.4693,14.451,6.0536
12.959,9.3158,13.621,10.632,13.74,15.342,10.726,11.429,9.5763,9.2812,17.824
0.026641,0,0,0.025001,0,0.10525,0,0,0.012765,0.13126,0.02241
0,0,0,0,0,0,0,0,0,0,0.027088
2.8098,5.9537,3.598,4.1746,9.3453,6.9516,4.2484,3.3663,1.4543,6.8607,1.9704
4.5065,3.2989,4.0413,3.038,4.4743,4.1076,3.2221,3.8754,4.3036,3.133,5.4463
0.69722,0.39126,1.0043,0.67948,0.35245,0.4591,0.28142,0.41225,1.0793,0.72666,1.0376
0.016605,0.070131,0.017274,0.12466,0.01364,0.098402,0.14158,0.0075078,0,0.05113,0
0.04098,0.48103,0.15835,0.80211,0.47128,0.22358,0.77563,0.22235,0.30854,0.54081,0.40381
0,0,0,0,0,0,0,0,0,0,0
0,0.098212,0,0.12002,0,0,0.16777,0,0,0,0
2.2106,3.9404,3.0719,7.6774,0.83506,9.4775,6.2231,2.0866,2.1184,10.395,1.6967
2.6486,6.1129,4.6881,8.0531,1.6617,8.5987,7.0379,3.948,3.2167,8.6876,2.2932
4.2399,3.4529,3.4345,3.4182,2.6288,2.734,3.857,3.3396,4.3282,3.3762,4.1515
0,0,0.21036,0,0,0,0,0,0,0,0
